No	Round	形式	質問文	A	B	C	D	正解	解説
1	1	4択	日本の首都はどこ？	東京	大阪	名古屋	札幌	A	日本の首都は東京です。
2	1	○×	太陽は東から昇る。	○	×			A	太陽は東から昇り、西に沈みます。
3	1	4択	1週間は何日？	5日	6日	7日	8日	C	1週間は7日です。
4	1	4択	富士山の高さに最も近いのは？	2,776m	3,776m	4,776m	5,776m	B	富士山の標高は3,776mです。
5	1	○×	水は0℃で凍る。	○	×			A	通常の気圧下では0℃で凍ります。
6	2	4択	地球で最も大きい大陸は？	アフリカ	ユーラシア	南アメリカ	オーストラリア	B	ユーラシア大陸が最大です。
7	2	○×	光は音より速い。	○	×			A	光の方が圧倒的に速いです。
8	2	4択	日本の通貨単位は？	ドル	ユーロ	円	ウォン	C	日本の通貨は円です。
9	2	4択	植物が光合成で作る主な物質は？	水	酸素	二酸化炭素	窒素	B	光合成の結果として酸素が作られます。
10	2	○×	地球は太陽の周りを回っている。	○	×			A	地球は太陽の周りを公転しています。
11	3	4択	日本で一番長い川は？	信濃川	利根川	淀川	天竜川	A	信濃川が最長です。
12	3	○×	桜の開花は一般に春に起こる。	○	×			A	桜の開花は春の風物詩です。
13	3	4択	英語で「猫」は？	Dog	Cat	Bird	Fish	B	猫はCatです。
14	3	4択	円周率に最も近いのは？	2.14	3.14	4.14	5.14	B	円周率は約3.14です。
15	3	○×	氷は水より重い。	○	×			B	氷は水より密度が小さいため浮きます。
16	4	4択	電気を通しやすいのは？	ゴム	ガラス	銅	木	C	金属の銅は電気を通します。
17	4	○×	日本の国旗は白地に赤い丸。	○	×			A	日の丸は白地に赤い丸です。
18	4	4択	フランスの首都は？	ローマ	パリ	ベルリン	マドリード	B	フランスの首都はパリです。
19	4	4択	1時間は何分？	30分	45分	60分	90分	C	1時間は60分です。
20	4	○×	水星は太陽系で最も大きい惑星。	○	×			B	最も大きい惑星は木星です。
